ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
10050416,01/01/2012 01:00:00 AM,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,OTHER,False,False,1733,17.0,33.0,41.953931744,-87.706068009
10933397,01/01/2012 01:30:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,231,2.0,20.0,,
11385272,01/01/2012 02:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,True,True,2525,25.0,35.0,,
10200322,01/01/2012 08:00:00 AM,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,APARTMENT,False,False,722,7.0,6.0,41.771485019,-87.63331752
10091766,01/01/2012 08:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,523,5.0,34.0,41.660842442,-87.640141934
10751224,01/01/2012 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,1513,15.0,29.0,,
11293300,01/01/2012 08:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,2525,25.0,30.0,,
11591621,01/01/2012 08:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,433,4.0,10.0,,
10292404,01/01/2012 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,1023,10.0,28.0,41.854714881,-87.694301298
11608254,01/01/2012 08:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,DAY CARE CENTER,False,False,1413,14.0,26.0,,
10920437,01/01/2012 09:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,512,5.0,9.0,,
11437142,01/01/2012 09:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1124,11.0,2.0,,
11577260,01/01/2012 09:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,True,822,8.0,14.0,,
10203536,01/01/2012 09:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,734,7.0,17.0,41.761360398,-87.657922841
10162676,01/01/2012 09:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1633,16.0,38.0,41.943074535,-87.772135012
10177794,01/01/2012 09:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,2514,25.0,30.0,41.938602008,-87.764441076
11227247,01/01/2012 09:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,432,4.0,10.0,,
10304660,01/01/2012 10:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,612,6.0,17.0,41.749557406,-87.650075988
11379274,01/01/2012 10:50:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1512,15.0,29.0,,
11453812,01/01/2012 11:50:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,831,8.0,18.0,,
11012707,01/01/2012 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,631,6.0,6.0,,
11569545,01/01/2012 12:00:00 PM,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,OTHER,False,False,2011,20.0,40.0,,
11442282,01/01/2012 12:00:00 AM,THEFT,FROM BUILDING,RESIDENCE,False,False,1112,11.0,27.0,,
10928253,01/01/2012 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,932,9.0,16.0,,
10260772,01/01/2012 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,1112,11.0,27.0,41.900039997,-87.72378279
10579715,01/01/2012 12:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,512,5.0,9.0,,
10244439,01/01/2012 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,823,8.0,13.0,41.777753427,-87.721345586
10223436,01/01/2012 12:00:00 PM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,1824,18.0,42.0,41.902670403,-87.629946882
10067343,01/01/2012 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,False,False,1114,11.0,28.0,41.881978364,-87.731251151
